csv_line,target,reported,candidate_formula,matches_candidate_formula
1866,alkalinity,100.0,100.0,True
1867,alkalinity,100.0,100.0,True
1868,alkalinity,110.0,110.0,True
1869,alkalinity,105.0,105.0,True
1870,alkalinity,110.0,110.0,True
1871,alkalinity,115.0,115.0,True
1872,alkalinity,125.0,125.0,True
1874,alkalinity,100.0,100.0,True
1875,alkalinity,135.0,135.0,True
1876,alkalinity,115.0,115.0,True
1877,alkalinity,110.0,110.0,True
1879,alkalinity,130.0,130.0,True
1880,alkalinity,105.0,105.0,True
1881,alkalinity,110.0,110.0,True
1882,alkalinity,75.0,75.0,True
1883,alkalinity,110.0,110.0,True
1885,alkalinity,100.0,100.0,True
1886,alkalinity,90.0,90.0,True
1887,alkalinity,95.0,95.0,True
1888,alkalinity,90.0,90.0,True
1889,alkalinity,65.0,65.0,True
1890,alkalinity,60.0,60.0,True
1891,alkalinity,50.0,50.0,True
1892,alkalinity,65.0,65.0,True
1893,alkalinity,60.0,60.0,True
1894,alkalinity,90.0,90.0,True
1895,alkalinity,115.0,115.0,True
1896,alkalinity,110.0,110.0,True
1898,alkalinity,45.0,45.0,True
1899,alkalinity,70.0,70.0,True
1900,alkalinity,70.0,70.0,True
1901,alkalinity,120.0,120.0,True
1902,alkalinity,85.0,85.0,True
1903,alkalinity,60.0,60.0,True
1904,alkalinity,70.0,70.0,True
1905,alkalinity,45.0,45.0,True
1906,alkalinity,70.0,70.0,True
1907,alkalinity,120.0,120.0,True
1908,alkalinity,85.0,85.0,True
1909,alkalinity,60.0,60.0,True
1910,alkalinity,65.0,65.0,True
1911,alkalinity,70.0,70.0,True
1912,alkalinity,60.0,60.0,True
1913,alkalinity,65.0,65.0,True
1914,alkalinity,50.0,50.0,True
1915,alkalinity,55.0,55.0,True
1916,alkalinity,70.0,70.0,True
1917,alkalinity,60.0,60.0,True
1918,alkalinity,95.0,95.0,True
1919,alkalinity,95.0,95.0,True
1920,alkalinity,100.0,100.0,True
1921,alkalinity,80.0,80.0,True
1922,alkalinity,65.0,65.0,True
1923,alkalinity,60.0,60.0,True
1928,alkalinity,70.0,70.0,True
1929,alkalinity,35.0,35.0,True
1930,alkalinity,55.0,55.0,True
1931,alkalinity,35.0,35.0,True
1932,alkalinity,60.0,60.0,True
1933,alkalinity,55.0,55.0,True
1934,alkalinity,75.0,75.0,True
1935,alkalinity,105.0,105.0,True
1936,alkalinity,95.0,95.0,True
1937,alkalinity,45.0,45.0,True
1938,alkalinity,45.0,45.0,True
1939,alkalinity,70.0,70.0,True
1940,alkalinity,75.0,75.0,True
1941,alkalinity,115.0,115.0,True
1942,alkalinity,80.0,80.0,True
1943,alkalinity,45.0,45.0,True
1944,alkalinity,70.0,70.0,True
1945,alkalinity,45.0,45.0,True
1946,alkalinity,75.0,75.0,True
1947,alkalinity,80.0,80.0,True
1948,alkalinity,70.0,70.0,True
1949,alkalinity,115.0,115.0,True
1950,alkalinity,75.0,75.0,True
1951,alkalinity,60.0,60.0,True
1952,alkalinity,55.0,55.0,True
1953,alkalinity,585.0,585.0,True
1954,alkalinity,55.0,55.0,True
1955,alkalinity,45.0,45.0,True
1956,alkalinity,60.0,60.0,True
1957,alkalinity,55.0,55.0,True
1958,alkalinity,85.0,85.0,True
1959,alkalinity,75.0,75.0,True
1960,alkalinity,70.0,70.0,True
1961,alkalinity,75.0,75.0,True
1962,alkalinity,55.0,55.0,True
1963,alkalinity,55.0,55.0,True
1977,alkalinity,110.0,110.0,True
1978,alkalinity,75.0,75.0,True
1979,alkalinity,45.0,45.0,True
1980,alkalinity,80.0,80.0,True
1982,alkalinity,50.0,50.0,True
1984,alkalinity,55.0,55.0,True
1985,alkalinity,65.0,65.0,True
1986,alkalinity,65.0,65.0,True
1987,alkalinity,65.0,65.0,True
1988,alkalinity,75.0,75.0,True
1989,alkalinity,35.0,35.0,True
1990,alkalinity,65.0,65.0,True
1991,alkalinity,50.0,50.0,True
1992,alkalinity,55.0,55.0,True
1993,alkalinity,75.0,75.0,True
1994,alkalinity,60.0,60.0,True
1995,alkalinity,60.0,60.0,True
1996,alkalinity,65.0,65.0,True
1997,alkalinity,65.0,65.0,True
1998,alkalinity,55.0,55.0,True
1999,alkalinity,65.0,65.0,True
2000,alkalinity,90.0,90.0,True
2001,alkalinity,35.0,35.0,True
2002,alkalinity,55.0,55.0,True
2003,alkalinity,60.0,60.0,True
2004,alkalinity,60.0,60.0,True
2005,alkalinity,65.0,65.0,True
2006,alkalinity,50.0,50.0,True
2007,alkalinity,75.0,75.0,True
2008,alkalinity,70.0,70.0,True
2009,alkalinity,65.0,65.0,True
2010,alkalinity,65.0,65.0,True
2011,alkalinity,80.0,80.0,True
2012,alkalinity,75.0,75.0,True
2013,alkalinity,50.0,50.0,True
2014,alkalinity,40.0,40.0,True
2015,alkalinity,55.0,55.0,True
2016,alkalinity,55.0,55.0,True
2017,alkalinity,55.0,55.0,True
2018,alkalinity,60.0,60.0,True
2019,alkalinity,60.0,60.0,True
2020,alkalinity,55.0,55.0,True
2021,alkalinity,80.0,80.0,True
2022,alkalinity,65.0,65.0,True
2023,alkalinity,70.0,70.0,True
2024,alkalinity,65.0,65.0,True
2025,alkalinity,65.0,65.0,True
2026,alkalinity,55.0,55.0,True
2027,alkalinity,90.0,90.0,True
2028,alkalinity,105.0,105.0,True
2029,alkalinity,90.0,90.0,True
2030,alkalinity,105.0,105.0,True
2031,alkalinity,70.0,70.0,True
2032,alkalinity,85.0,85.0,True
2033,alkalinity,85.0,85.0,True
2034,alkalinity,105.0,105.0,True
2035,alkalinity,115.0,115.0,True
2036,alkalinity,90.0,90.0,True
2037,alkalinity,120.0,120.0,True
2038,alkalinity,95.0,95.0,True
2039,alkalinity,130.0,130.0,True
2040,alkalinity,115.0,115.0,True
2041,alkalinity,65.0,65.0,True
2042,alkalinity,45.0,45.0,True
2043,alkalinity,95.0,95.0,True
2044,alkalinity,45.0,45.0,True
2045,alkalinity,50.0,50.0,True
2048,alkalinity,90.0,90.0,True
2049,alkalinity,30.0,30.0,True
2050,alkalinity,95.0,95.0,True
2052,alkalinity,100.0,100.0,True
2053,alkalinity,120.0,120.0,True
2054,alkalinity,155.0,155.0,True
2055,alkalinity,60.0,60.0,True
2056,alkalinity,50.0,50.0,True
2057,alkalinity,60.0,60.0,True
2058,alkalinity,40.0,40.0,True
2059,alkalinity,85.0,85.0,True
2060,alkalinity,85.0,85.0,True
2061,alkalinity,115.0,115.0,True
2062,alkalinity,80.0,80.0,True
2063,alkalinity,120.0,120.0,True
2064,alkalinity,115.0,115.0,True
2065,alkalinity,135.0,135.0,True
2066,alkalinity,70.0,70.0,True
2067,alkalinity,50.0,50.0,True
2068,alkalinity,75.0,75.0,True
2069,alkalinity,90.0,90.0,True
2070,alkalinity,70.0,70.0,True
2071,alkalinity,75.0,75.0,True
2072,alkalinity,75.0,75.0,True
2073,alkalinity,75.0,75.0,True
2074,alkalinity,90.0,90.0,True
2075,alkalinity,130.0,130.0,True
2076,alkalinity,115.0,115.0,True
2077,alkalinity,105.0,105.0,True
2078,alkalinity,55.0,55.0,True
2079,alkalinity,90.0,90.0,True
2080,alkalinity,90.0,90.0,True
2081,alkalinity,90.0,90.0,True
2082,alkalinity,100.0,100.0,True
2083,alkalinity,105.0,105.0,True
2084,alkalinity,110.0,110.0,True
2085,alkalinity,95.0,95.0,True
2086,alkalinity,125.0,125.0,True
